Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress
Breathwork,2020-08-01 08:38:29,false,"Meditation ","0.00","10","00:11:34","63","72","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:34","0:00","0.0","0:00","No","11:34.39","1","0.0","11","9","13","13","0","13","--"
Walking,2020-07-31 23:07:37,false,"Hanover Walking","1.40","81","00:16:52","126","164","101","184","12:05","5:51","58","6","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:52","0:00","0.0","0:00","No","05:33.96","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-31 22:15:59,false,"Hanover - Progression Run","8.17","471","00:50:00","166","182","178","190","6:07","4:56","6","7","0.92","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","50:00","0:00","0.0","0:00","No","04:26.46","9","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-31 13:45:39,false,"Hanover Cycling","4.59","107","00:17:26","125","148","--","--","15.8","21.7","7","4","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:26","0:00","0.0","0:00","No","17:26.36","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-31 08:46:15,false,"Hanover Cycling","4.54","112","00:15:52","133","150","--","--","17.2","25.0","41","4","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:52","0:00","0.0","0:00","No","15:52.05","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-07-30 23:44:58,false,"AGON","0.00","--","00:00:30.4","70","75","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","7","0:30.4","0:00","0.0","0:00","No","00:30.39","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-07-30 11:27:22,false,"Meditation","0.00","12","00:10:34","72","81","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","10:34","0:00","0.0","0:00","No","10:34.02","1","0.0","8","7","12","-2","20","18","--"
Cycling,2020-07-29 20:15:11,false,"Hanover Cycling","4.13","93","00:15:53","121","139","--","--","15.6","23.9","35","7","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:53","0:00","0.0","0:00","No","15:53.34","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-07-29 18:50:32,false,"Pepimuf","0.00","478","01:18:10","140","176","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","5","1","1:18:10","0:00","0.0","0:00","No","01:18:09.67","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-29 18:27:50,false,"Hanover Cycling","4.62","110","00:16:15","130","146","--","--","17.1","43.9","36","10","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:15","0:00","0.0","0:00","No","16:14.75","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-28 14:09:53,false,"Hanover Walking","1.97","131","00:23:30","131","144","103","137","11:56","9:59","3","40","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","23:30","0:00","0.0","0:00","No","11:44.99","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-28 13:20:22,false,"Hanover - Easy Run","7.00","408","00:41:56","170","192","180","190","5:59","5:04","9","8","0.93","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","41:56","0:00","0.0","0:00","No","01:28.14","9","0.0","--","--","--","--","--","--","--"
Running,2020-07-27 13:17:47,false,"Hanover - Long Easy Run","9.22","556","00:55:27","171","194","180","190","6:01","4:22","9","5","0.92","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","55:27","0:00","0.0","0:00","No","03:01.34","10","0.0","--","--","--","--","--","--","--"
Walking,2020-07-26 19:09:01,false,"Hanover Walking","0.88","44","00:10:44","105","117","100","137","12:14","8:40","56","--","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:44","0:00","0.0","0:00","No","10:43.75","1","0.0","--","--","--","--","--","--","--"
Running,2020-07-26 10:31:47,false,"Hanover Running","8.36","369","00:41:06","161","184","164","178","4:55","3:48","44","15","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","41:06","0:00","0.0","0:00","No","01:43.73","9","0.0","--","--","--","--","--","--","--"
Walking,2020-07-23 15:58:59,false,"Hanover Walking","2.73","141","00:39:17","100","121","86","159","14:24","7:58","11","--","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","39:17","0:00","0.0","0:00","No","12:36.79","3","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-22 20:42:42,false,"Hanover Cycling","4.28","65","00:15:47","105","140","--","--","16.3","21.9","7","2","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:47","0:00","0.0","0:00","No","15:47.07","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-07-22 18:58:40,false,"PEPIMUF","0.00","502","01:30:24","135","171","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","120","3","1:30:24","0:00","0.0","0:00","No","01:30:24.50","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-22 18:27:05,false,"Hanover Cycling","4.34","83","00:14:09","123","154","--","--","18.4","26.7","5","6","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:09","0:00","0.0","0:00","No","14:09.50","1","0.0","--","--","--","--","--","--","--"
Running,2020-07-21 09:54:14,false,"Hamburg - Easy Run","21.12","1,182","02:16:15","167","181","180","201","6:27","5:26","38","47","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:16:15","0:00","0.0","0:00","No","02:02.48","23","0.0","--","--","--","--","--","--","--"
Walking,2020-07-20 16:39:56,false,"Hamburg Walking","1.96","91","00:23:06","106","116","85","137","11:48","8:56","6","22","1.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","23:06","0:00","0.0","0:00","No","11:24.33","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-20 11:02:14,false,"Hamburg - Goal Pace Repeats","8.00","466","00:50:48","170","187","178","193","6:21","4:56","12","16","0.88","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","50:48","0:00","0.0","0:00","No","00:30.00","22","0.0","--","--","--","--","--","--","--"
Strength Training,2020-07-20 02:00:01,false,"ATHENA","0.00","--","00:01:17.3","73","87","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","1","5","1:17.3","0:00","0.0","0:00","No","01:17.29","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-19 19:22:42,false,"Hamburg Walking","7.81","379","01:55:17","97","133","71","222","14:46","4:09","48","35","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:55:17","0:00","0.0","0:00","No","05:18.87","9","0.0","--","--","--","--","--","--","--"
Walking,2020-07-19 18:19:22,false,"Hamburg Walking","2.21","112","00:34:07","97","107","75","124","15:29","11:10","--","--","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","34:07","0:00","0.0","0:00","No","02:41.89","3","0.0","--","--","--","--","--","--","--"
Walking,2020-07-19 15:25:13,false,"Hamburg Walking","2.40","120","00:35:08","100","117","60","172","14:40","9:21","4","10","1.18","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","35:08","0:00","0.0","0:00","No","05:43.92","3","0.0","--","--","--","--","--","--","--"
Walking,2020-07-19 14:25:40,false,"Hamburg Walking","0.75","40","00:10:13","102","118","91","124","13:40","10:02","32","23","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:13","0:00","0.0","0:00","No","10:12.98","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-18 21:46:04,false,"Hamburg Walking","6.50","325","01:43:25","96","126","76","158","15:55","9:12","36","41","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:43:25","0:00","0.0","0:00","No","08:10.04","7","0.0","--","--","--","--","--","--","--"
Walking,2020-07-18 21:35:30,false,"Hamburg Walking","0.69","37","00:10:22","99","110","88","123","15:07","10:42","37","8","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:22","0:00","0.0","0:00","No","10:22.05","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-18 11:33:35,false,"Hanover Walking","1.40","63","00:16:58","110","116","87","134","12:07","2:17","--","16","0.95","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:58","0:00","0.0","0:00","No","04:33.30","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-18 10:30:51,false,"Hanover - Speed Repeats","7.04","380","00:48:00","158","185","179","193","6:49","4:37","5","5","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","48:00","0:00","0.0","0:00","No","00:04.26","24","0.0","--","--","--","--","--","--","--"
Walking,2020-07-17 20:37:32,false,"Hanover Walking","1.00","60","00:15:32","101","113","67","246","15:36","5:41","19","--","0.96","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:32","0:00","0.0","0:00","No","15:31.50","1","0.0","--","--","--","--","--","--","--"
Running,2020-07-16 12:13:01,false,"Hanover - Easy Run","10.02","533","01:08:51","152","177","178","194","6:52","5:14","10","9","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:08:51","0:00","0.0","0:00","No","00:31.23","12","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-15 20:07:16,false,"Hanover Cycling","3.13","71","00:12:34","122","145","--","--","14.9","22.4","9","31","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:34","0:00","0.0","0:00","No","12:33.53","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-07-15 18:54:42,false,"Pepimuf","0.00","362","01:05:10","135","170","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","20","1","1:05:10","0:00","0.0","0:00","No","01:05:10.02","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-15 18:30:26,false,"Hanover Cycling","4.28","98","00:15:09","129","142","--","--","17.0","28.7","6","22","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:09","0:00","0.0","0:00","No","15:09.42","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-15 14:49:33,false,"Hanover Walking","0.55","33","00:10:07","104","122","55","158","18:31","9:01","6","11","0.98","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:07","0:00","0.0","0:00","No","10:07.28","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-15 13:14:06,false,"Hanover Walking","0.77","47","00:16:42","93","112","38","148","21:42","10:34","2","64","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:42","0:00","0.0","0:00","No","16:42.20","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-15 10:34:07,false,"Hanover Walking","1.91","91","00:23:30","110","127","90","129","12:17","9:30","8","--","0.92","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","23:30","0:00","0.0","0:00","No","11:33.57","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-14 21:19:48,false,"Hanover Running","0.27","15","00:01:37.9","168","179","172","188","6:08","5:36","--","--","0.95","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:37.9","0:00","0.0","0:00","No","01:37.94","1","0.0","--","--","--","--","--","--","--"
Running,2020-07-14 20:22:59,false,"Hanover - Goal Pace Repeats","9.06","473","00:55:58","161","189","180","194","6:11","3:37","6","4","0.90","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","55:58","0:00","0.0","0:00","No","00:30.00","23","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-14 19:03:39,false,"Hanover Cycling","2.69","45","00:10:35","109","124","--","--","15.3","23.2","2","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:35","0:00","0.0","0:00","No","10:35.08","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-14 16:48:01,false,"Hanover Cycling","2.63","51","00:09:58.8","115","128","--","--","15.8","22.4","--","51","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:58.8","0:00","0.0","0:00","No","09:58.75","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-13 19:45:19,false,"Hanover Walking","1.07","79","00:19:25","110","150","84","154","18:05","0:57","14","37","0.62","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","19:25","0:00","0.0","0:00","No","00:04.21","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-13 18:02:25,false,"Hanover Walking","0.87","47","00:15:03","97","119","40","122","17:16","10:16","7","--","1.46","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:03","0:00","0.0","0:00","No","15:03.20","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-07-12 13:47:16,false,"Hanover Cycling","4.11","116","00:15:21","142","163","--","--","16.1","28.2","34","8","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:21","0:00","0.0","0:00","No","15:20.80","1","0.0","--","--","--","--","--","--","--"
Running,2020-07-12 11:15:23,false,"Hanover - Easy Run","10.75","611","01:09:28","166","183","179","191","6:28","5:28","18","13","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:09:28","0:00","0.0","0:00","No","00:08.45","13","0.0","--","--","--","--","--","--","--"
Walking,2020-07-11 20:44:56,false,"Hanover Walking","1.97","112","00:28:14","116","129","80","244","14:20","9:42","4","34","0.89","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","28:14","0:00","0.0","0:00","No","12:36.04","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-10 19:58:11,false,"Hanover Walking","5.40","261","01:13:16","112","128","91","246","13:35","8:56","2","8","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:13:16","0:00","0.0","0:00","No","04:41.97","6","0.0","--","--","--","--","--","--","--"
Walking,2020-07-10 19:35:21,false,"Hanover Walking","1.55","76","00:20:34","109","120","97","241","13:14","6:08","76","70","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","20:34","0:00","0.0","0:00","No","07:05.39","2","0.0","--","--","--","--","--","--","--"
Running,2020-07-09 14:58:18,false,"Hanover - Easy Run","9.37","530","01:02:08","165","191","178","195","6:38","5:00","6","49","0.84","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:02:08","0:00","0.0","0:00","No","01:44.33","11","0.0","--","--","--","--","--","--","--"
Walking,2020-07-08 23:43:14,false,"Hanover Walking","1.78","87","00:22:54","109","153","29","247","12:52","0:53","4","10","2.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","22:54","0:00","0.0","0:00","No","09:46.47","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-08 22:00:36,false,"Hanover Walking","1.21","60","00:20:09","101","110","69","113","16:40","0:57","13","2","1.16","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","20:09","0:00","0.0","0:00","No","03:40.82","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-08 21:47:40,false,"Hanover Walking","0.83","40","00:11:30","111","125","106","122","13:53","10:27","4","20","0.68","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:30","0:00","0.0","0:00","No","11:30.39","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-07 21:01:47,false,"Hanover Walking","2.61","147","00:36:44","114","135","91","228","14:05","6:12","7","121","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","36:44","0:00","0.0","0:00","No","07:12.03","3","0.0","--","--","--","--","--","--","--"
Walking,2020-07-06 13:31:18,false,"Salzburg Walking","1.43","76","00:20:45","108","120","77","225","14:33","9:24","11","34","0.89","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","20:45","0:00","0.0","0:00","No","07:14.07","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-06 12:09:30,false,"Salzburg Walking","0.95","44","00:14:05","96","122","60","137","14:47","9:15","11","2","1.13","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:05","0:00","0.0","0:00","No","14:05.03","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-06 11:16:13,false,"Salzburg Walking","0.77","39","00:11:58","100","112","49","119","15:31","8:53","2","8","1.32","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:58","0:00","0.0","0:00","No","11:58.39","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-06 10:39:41,false,"Salzburg Walking","0.85","58","00:16:05","105","117","54","155","19:02","1:16","4","31","0.97","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:05","0:00","0.0","0:00","No","16:04.74","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-05 18:30:03,false,"Salzburg Walking","2.92","150","00:44:01","104","120","72","135","15:05","1:23","26","9","0.93","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","44:01","0:00","0.0","0:00","No","12:37.90","3","0.0","--","--","--","--","--","--","--"
Walking,2020-07-05 11:53:23,false,"Salzburg Walking","1.63","75","00:21:00","91","99","66","131","12:51","8:28","2","--","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:00","0:00","0.0","0:00","No","10:06.95","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-04 12:56:47,false,"Hof bei Salzburg Walking","14.03","851","03:36:14","106","167","68","247","15:24","5:35","440","403","0.97","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","3:36:14","0:00","0.0","0:00","No","06:14.25","15","0.0","--","--","--","--","--","--","--"
Walking,2020-07-03 18:02:59,false,"Salzburg Walking","0.85","58","00:17:19","99","110","63","147","20:15","9:07","19","2","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:19","0:00","0.0","0:00","No","17:18.89","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-03 10:51:40,false,"Salzburg Walking","21.17","1,339","05:28:20","110","166","79","248","15:30","4:01","722","922","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","5:28:20","0:00","0.0","0:00","No","01:30.18","22","0.0","--","--","--","--","--","--","--"
Walking,2020-07-02 19:19:39,false,"Salzburg Walking","0.99","51","00:13:39","106","121","83","126","13:50","8:53","4","12","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:39","0:00","0.0","0:00","No","13:38.92","1","0.0","--","--","--","--","--","--","--"
Walking,2020-07-02 17:45:33,false,"Salzburg Walking","1.46","67","00:19:11","97","112","83","225","13:09","9:12","12","2","0.92","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","19:11","0:00","0.0","0:00","No","06:02.12","2","0.0","--","--","--","--","--","--","--"
Walking,2020-07-02 11:39:01,false,"Salzburg Walking","5.01","268","01:13:27","99","140","82","159","14:40","9:36","90","108","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:13:27","0:00","0.0","0:00","No","00:10.88","6","0.0","--","--","--","--","--","--","--"
Yoga,2020-07-01 09:31:08,false,"Yoga","0.00","10","00:11:34","63","79","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:34","0:00","0.0","0:00","No","11:34.30","1","0.0","15","11","24","-4","15","11","--"
Walking,2020-06-30 21:54:17,false,"Vienna Walking","3.53","155","00:41:19","112","124","75","124","11:43","3:47","90","13","1.13","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","41:19","0:00","0.0","0:00","No","03:11.20","4","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-30 13:34:44,false,"Vienna Cycling","3.81","62","00:13:43","113","137","--","--","16.7","26.8","7","26","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:43","0:00","0.0","0:00","No","13:42.65","1","0.0","--","--","--","--","--","--","--"
Walking,2020-06-29 22:40:03,false,"Vienna Walking","3.79","189","00:47:57","102","121","107","135","12:39","9:36","42","38","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","47:57","0:00","0.0","0:00","No","10:16.83","4","0.0","--","--","--","--","--","--","--"
Walking,2020-06-29 21:26:50,false,"Vienna Walking","1.31","67","00:15:47","108","126","97","129","12:06","7:50","20","7","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:47","0:00","0.0","0:00","No","03:54.05","2","0.0","--","--","--","--","--","--","--"
Walking,2020-06-29 20:02:15,false,"Vienna Walking","0.41","20","00:06:21.1","107","117","77","118","15:19","13:14","--","--","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","6:21.1","0:00","0.0","0:00","No","06:21.11","1","0.0","--","--","--","--","--","--","--"
Walking,2020-06-29 18:15:45,false,"Vienna Walking","1.05","50","00:13:45","107","116","104","118","13:06","7:44","15","--","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:45","0:00","0.0","0:00","No","00:35.88","2","0.0","--","--","--","--","--","--","--"
Walking,2020-06-29 17:21:58,false,"Vienna Walking","3.15","148","00:37:07","111","128","102","194","11:47","9:42","12","23","0.84","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","37:07","0:00","0.0","0:00","No","01:42.07","4","0.0","--","--","--","--","--","--","--"
Walking,2020-06-28 19:46:35,false,"Vienna Walking","2.42","116","00:36:34","95","109","87","137","15:07","11:59","6","7","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","36:34","0:00","0.0","0:00","No","06:16.96","3","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-28 13:45:36,false,"Vienna Cycling","3.76","61","00:13:34","113","138","--","--","16.7","26.5","9","31","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:34","0:00","0.0","0:00","No","13:33.51","1","0.0","--","--","--","--","--","--","--"
Walking,2020-06-27 18:39:23,false,"Vienna Walking","0.67","33","00:08:41.9","100","108","99","127","12:55","9:59","4","105","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:41.9","0:00","0.0","0:00","No","08:41.92","1","0.0","--","--","--","--","--","--","--"
Walking,2020-06-27 16:58:58,false,"Vienna Walking","1.05","53","00:14:29","108","123","105","159","13:49","11:18","2","29","0.69","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:29","0:00","0.0","0:00","No","00:55.33","2","0.0","--","--","--","--","--","--","--"
Walking,2020-06-27 15:30:49,false,"Vienna Walking","4.31","199","00:50:18","107","117","107","128","11:39","9:27","2","96","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","50:18","0:00","0.0","0:00","No","03:58.80","5","0.0","--","--","--","--","--","--","--"
Yoga,2020-06-27 10:17:39,false,"Yoga","0.00","11","00:11:31","67","75","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","11:30.68","1","0.0","11","9","14","0","14","14","--"
Walking,2020-06-26 20:13:36,false,"Vienna Walking","3.63","187","00:48:36","114","144","91","178","13:23","6:07","47","64","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","48:36","0:00","0.0","0:00","No","08:39.24","4","0.0","--","--","--","--","--","--","--"
Running,2020-06-26 19:10:50,false,"Vienna - Long Easy Run","7.06","391","00:46:43","162","177","173","201","6:37","5:25","33","53","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","46:43","0:00","0.0","0:00","No","04:23.75","8","0.0","--","--","--","--","--","--","--"
Walking,2020-06-26 16:45:00,false,"Vienna Walking","3.48","170","00:50:36","93","115","88","159","14:33","10:46","9","10","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","50:36","0:00","0.0","0:00","No","06:39.24","4","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-26 15:02:48,false,"Vienna Cycling","3.61","84","00:14:47","124","157","2","118","14.7","23.0","30","9","63.27","0.0","0.0","2","118","0.0","0.0","0.0","--","--","--","--","--","14:47","0:00","0.0","0:00","No","02:36.55","4","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-26 09:46:16,false,"Vienna Cycling","3.66","67","00:15:17","112","135","1","112","14.4","23.1","11","49","270.58","0.0","0.0","1","112","0.0","0.0","0.0","--","--","--","--","--","15:17","0:00","0.0","0:00","No","02:30.35","4","0.0","--","--","--","--","--","--","--"
Walking,2020-06-25 21:22:47,false,"Vienna Walking","3.53","176","00:44:33","108","121","97","226","12:36","3:08","19","--","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","44:33","0:00","0.0","0:00","No","07:01.09","4","0.0","--","--","--","--","--","--","--"
Walking,2020-06-25 17:36:01,false,"Vienna Walking","4.51","215","00:49:11","112","138","114","134","10:54","5:21","2","28","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","49:11","0:00","0.0","0:00","No","05:45.03","5","0.0","--","--","--","--","--","--","--"
Walking,2020-06-24 15:39:00,false,"Vienna Walking","11.62","565","02:23:32","103","134","105","223","12:21","6:52","45","38","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:23:32","0:00","0.0","0:00","No","07:17.85","12","0.0","--","--","--","--","--","--","--"
Running,2020-06-23 20:32:14,false,"Vienna - Easy Run","6.75","374","00:42:37","164","179","177","190","6:19","5:17","52","50","0.89","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","42:37","0:00","0.0","0:00","No","03:32.63","8","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-23 00:01:44,false,"Vienna Cycling","3.82","89","00:16:48","121","141","--","--","13.6","20.6","88","7","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:48","0:00","0.0","0:00","No","16:48.04","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-22 19:50:12,false,"Vienna Cycling","3.53","70","00:13:11","121","147","--","--","16.1","22.9","9","29","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:11","0:00","0.0","0:00","No","13:10.88","1","0.0","--","--","--","--","--","--","--"
Running,2020-06-22 12:21:08,false,"Vienna - Easy Run","11.82","681","01:17:22","169","189","176","232","6:33","5:11","84","150","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:17:22","0:00","0.0","0:00","No","01:29.55","14","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-22 08:31:44,false,"Meditation","0.00","14","00:16:09","62","72","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","2","16:09","0:00","0.0","0:00","No","16:08.64","1","0.0","14","10","17","18","0","18","--"
Walking,2020-06-21 19:07:54,false,"Vienna Walking","0.84","41","00:11:26","97","105","100","128","13:42","10:54","--","--","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:26","0:00","0.0","0:00","No","11:26.07","1","0.0","--","--","--","--","--","--","--"
